unique_id,strategy,zone,land_size,last_crop,last_yield,last_cost,last_water,last_profit,mean_yield,mean_profit,goal,n_obs
29,INDIVIDUAL,IRRIGATED_SOUSS,6.566677771278215,avocados,4.948908838281286,5625.074167326901,450.0,405033.2498853897,5.2903784755142,435528.8165242095,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
30,SHARED,SAHARAN,2.730597312309939,watermelon,8.232842956320345,9460.086726996475,300.0,54972.954836179306,16.929372246114884,146489.61705537114,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
31,INDIVIDUAL,SAHARAN,2.730597312309939,date_palms,0.9005104290351169,5848.967618444525,300.0,49323.2880011825,2.2322952671507355,145888.7173161987,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
32,SHARED,IRRIGATED_SOUSS,3.0510844808639215,tomatoes,32.73155466162244,6373.415997713041,450.0,213487.34481905377,30.422317141977224,197053.72185483587,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
33,INDIVIDUAL,IRRIGATED_SOUSS,3.0510844808639215,citrus,12.186910868874632,5856.765869808592,450.0,146006.58776803987,12.569915770598744,151156.81334697903,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
34,SHARED,SUB_HUMID,8.697859489136322,durum_wheat,1.5507143859144568,3766.3912737767564,450.0,33942.41895757392,1.2441714099815395,24848.37901406117,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
35,INDIVIDUAL,SUB_HUMID,8.697859489136322,fava_beans,0.7555538295613609,5842.174406847096,450.0,4598.171118117717,0.7697592668469007,5640.002877764907,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
36,SHARED,ARID,3.501762427990829,almonds,0.6594066371430017,5510.817792389379,450.0,36113.547332110844,0.49457948822989356,22262.826476419857,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
37,INDIVIDUAL,ARID,3.501762427990829,almonds,0.48062259822773795,5265.090786381137,450.0,11676.448409774284,0.5134903301848394,13735.785497963487,"{'yield': 0.0, 'budget': 0.0, 'water': 1.0}",30
38,SHARED,SEMI_ARID_COOL,2.4638868744047633,durum_wheat,1.1244077360921951,5118.38311227192,450.0,1089.4641355558447,1.2511788759187252,2660.615916405577,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
39,INDIVIDUAL,SEMI_ARID_COOL,2.4638868744047633,barley,0.8176685848726103,4831.895848847333,450.0,-4130.737832980023,0.762574985310316,-4654.5754603286605,"{'yield': 0.5, 'budget': 0.3, 'water': 0.2}",30
40,SHARED,IRRIGATED_SOUSS,3.4028003984420203,tomatoes,30.925006486570574,10363.889564261899,450.0,210180.2024636185,30.820889355858153,209353.84273014887,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
41,INDIVIDUAL,IRRIGATED_SOUSS,3.4028003984420203,avocados,4.4112137915790735,6454.964429232441,450.0,182177.57311561436,5.217587686839345,219495.01311996896,"{'yield': 1.0, 'budget': 0.0, 'water': 0.0}",30
42,SHARED,IRRIGATED_SOUSS,1.6426225862069348,tomatoes,28.131252657749492,10679.926469866936,450.0,90236.70381301011,28.984595035859172,94384.49527639984,"{'yield': 0.0, 'budget': 1.0, 'water': 0.0}",30
