config,strategy,mean_yield,mean_profit,mean_revenue,mean_cost,n_agents
zone_only,SHARED,6.3376822425612875,203582.42977324215,235959.01064134587,32376.58086810374,100
zone_only,INDIVIDUAL,6.107314761233934,146689.53268821945,187124.44566630345,40434.912978084045,100
neighbor_only,SHARED,6.608164520099738,204653.0575508423,237168.759423411,32515.70187256872,100
neighbor_only,INDIVIDUAL,6.107314761233934,146689.53268821945,187124.44566630345,40434.912978084045,100
both,SHARED,6.608164520099738,204653.0575508423,237168.759423411,32515.70187256872,100
both,INDIVIDUAL,6.107314761233934,146689.53268821945,187124.44566630345,40434.912978084045,100
